"Country","Quality of Life Index","Purchasing Power Index","Safety Index","Health Care Index","Cost of Living Index","Property Price to Income Ratio","Traffic Commute Time Index","Pollution Index","Climate Index","Year"
"Slovenia",125.6,60.4,66.8,61.3,75.4,11.1,20.7,33,"-",2014
"Slovenia",134.5,64.2,71.3,53.9,65.1,10.6,18.8,31.4,"-",2015
"Slovenia",175.9,89.8,73.7,58.5,52.2,9.7,25,28.2,"62.5",2016
"Slovenia",175.5,78.2,75.9,64.4,53.2,8.3,26.5,26.4,"60.5",2017
"Slovenia",175.4,80.3,75.3,64.7,59.6,8.4,27.8,26.2,"76.3",2018
"Slovenia",176,75.4,77.4,62.8,52.5,10.2,24.8,24.3,"78.1",2019
"Slovenia",172.2,66.3,78.9,64.6,53.4,10.5,27.3,24.1,"77.6",2020
"Slovenia",168.2,56.1,78.2,65.3,59.4,10.9,26.8,22.7,"77.6",2021
