"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,1,1,1,0,1,1
"2",0,0,0,0,0,0,0,0
"3",0,0,0,0,1,0,0,2
"4",0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0
"6",1,0,0,1,0,1,0,0
"7",0,0,0,1,0,0,1,0
"8",1,1,1,1,0,1,0,0
"9",1,1,1,2,2,1,0,0
"10",0,1,0,1,0,1,2,2
"11",0,0,0,0,0,0,3,1
